,station,name,ribbonType,menu,priceRange
79,왕십리,대구집,NOT,"한우채끝살(400g 4만원), 한우꽃살, 안창살, 토시살, 갈빗살, 살치살(각 400g 5만6천원), 육사시미(250g 3만원), 육회(300g 3만원)",2~4만원대
80,왕십리,대도식당(강남직영점),NOT,"한우생등심(1인분 250g 3만8천원),볶음밥(깍두기)(2천원),된장죽(2천원)",2~4만원대
81,왕십리,대흥설농탕,NOT,"해장국(7천원), 설렁탕(1만원, 특 1만3천원), 수육(3만원)",1~2만원대
82,왕십리,드소영,NOT,"마카롱(2천5백원~3천원), 찰리브라운초콜릿(6천원), 바닐라치즈케이크(7천원), 피스타치오&오렌지꽃(7천원)",1만원 미만
83,왕십리,로우커피스탠드,NOT,"아메리카노(2천원), 카페라테, 카푸치노(각 2천5백원), 바닐라라테(3천원), 콤부차(4천원)",1만원 미만
84,왕십리,마장동한우촌,NOT,"한우갈빗살, 한우꽃등심, 한우채끝(각 시가), 육회(150g 1만5천원, 250g 2만5천원), 한우갈비탕(1만3천원), 차돌된장찌개(7천원), 물냉면(8천원), 상차림비(1인 4천원)",4~10만원대
85,왕십리,목포산꽃게,NOT,"양념꽃게찜, 꽃게찜, 꽃게탕(각 중 8만원, 대 10만원), 아귀찜, 아귀탕(각 소 4만5천원, 중 5만5천원, 대 6만5천원), 꽃게아귀찜, 꽃게아귀탕(각 소 6만원, 중 8만원, 대 10만원), 간장게장(소 6만원, 중 9만원, 대 12만원)",2~4만원대
86,왕십리,변산반도고향집,NOT,"모둠(500g 4만원, 700g 5만5천원, 900g 8만원)",2~4만원대
87,왕십리,북배산흑염소,NOT,"흑염소탕(1만2천원), 흑염소수육(2만7천원)",1~2만원대
88,왕십리,비사벌전주콩나물국밥,NOT,"콩나물국밥(7천원), 모주(1천원)",1만원 미만
89,왕십리,비사벌전주콩나물국밥(장안점),NOT,콩나물국밥(6천원),1만원 미만
90,왕십리,쁘띠그랑,NOT,"초콜릿, 마카롱(각 2천2백원), 박스포장(2천원 추가)",1만원 미만
91,왕십리,서울숲쭈꾸미,NOT,"황태구이(7천원), 황태해장국(6천원), 주꾸미볶음(7천원), 황태굴해장국(8천원)",1만원 미만
